# Table S1 Coseismic displacements at the GPS sites. First column shows the ID number. The second and third columns show the location of the reference GPS site, while the fourth and fifth columns show the location of the observation GPS site. EW is east-west, NS is north-south, and UD is up-down components in m. Error is described in Methods. 
# ID  Latitude(ref)  Longitude(ref)  Latitude  Longitude  EW (m)  NS (m)  UD (m)  
703  32.6694  128.8431  35.2432  140.3849  0.072  -0.0005  -0.0747  
704  32.6694  128.8431  35.0028  139.9749  0.0479  0.0006  -0.0442  
705  32.6694  128.8431  35.6637  139.6307  0.2104  0.056  -0.0514  
706  32.6694  128.8431  35.3362  139.1626  0.1068  0.0328  -0.0132  
707  32.6694  128.8431  35.2686  139.1424  0.0955  0.0279  -0.0256  
708  32.6694  128.8431  38.4654  139.2534  0.7415  -0.1699  0.0279  
709  32.6694  128.8431  38.3194  138.5131  0.4723  -0.0842  0.0312  
710  32.6694  128.8431  38.0633  138.4717  0.46  -0.0541  0.0289  
711  32.6694  128.8431  37.9294  139.3515  0.8097  -0.09  0.0122  
712  32.6694  128.8431  37.8159  138.2731  0.4038  -0.0369  0.0162  
713  32.6694  128.8431  37.6859  139.4779  0.8226  -0.0585  -0.0034  
714  32.6694  128.8431  37.6675  138.7805  0.5169  -0.0357  0.0178  
715  32.6694  128.8431  37.6623  139.0591  0.6327  -0.0428  0.0173  
716  32.6694  128.8431  37.4677  138.998  0.5739  -0.0164  0.0191  
717  32.6694  128.8431  37.3113  138.79  0.4841  0.0025  0.0151  
718  32.6694  128.8431  37.2311  138.3336  0.3562  0.0053  0.0155  
719  32.6694  128.8431  37.166  138.9337  0.5038  0.0135  -0.0089  
720  32.6694  128.8431  37.1608  138.1002  0.3104  0.0057  0.0009  
721  32.6694  128.8431  37.0791  138.6087  0.3909  0.0128  0.0067  
723  32.6694  128.8431  36.9935  138.8308  0.4357  0.0278  -0.0019  
724  32.6694  128.8431  36.8654  138.1987  0.2839  0.0214  -0.0046  



739  32.6694  128.8431  35.856  138.3164  0.1498  0.0336  -0.0041  
740  32.6694  128.8431  35.7469  138.6951  0.1616  0.0429  -0.0169  
741  32.6694  128.8431  36.8017  138.4362  0.3221  0.0215  -0.0201  
743  32.6694  128.8431  36.6652  138.2475  0.2644  0.0287  0.0178  
744  32.6694  128.8431  36.3862  138.3225  0.2289  0.0331  0.0106  
745  32.6694  128.8431  36.346  138.6378  0.2627  0.0476  0.0015  
747  32.6694  128.8431  36.2085  138.2165  0.1972  0.032  -0.0045  
748  32.6694  128.8431  36.1306  138.461  0.2059  0.041  0.0017  
751  32.6694  128.8431  35.5561  138.0383  0.1001  0.0258  -0.0001  
995  32.6694  128.8431  41.9767  140.7154  0.0748  -0.1113  -0.0071  
996  32.6694  128.8431  41.803  140.0712  0.1014  -0.1232  -0.0011  
999  32.6694  128.8431  41.4047  141.4476  0.1081  -0.1609  0.0049  
1000  32.6694  128.8431  41.1851  140.4908  0.1762  -0.1996  0.0036  
1001  32.6694  128.8431  41.1456  140.822  0.1715  -0.2094  -0.0019  
1002  32.6694  128.8431  40.8624  141.1318  0.2327  -0.2864  -0.0062  
1003  32.6694  128.8431  40.7063  140.5892  0.2871  -0.2938  -0.0014  
1004  32.6694  128.8431  40.6764  141.3762  0.2804  -0.3468  -0.0058  
1005  32.6694  128.8431  40.6243  140.4785  0.3181  -0.3016  0.005  
1006  32.6694  128.8431  40.6436  140.8033  0.3234  -0.3381  -0.0176  
1007  32.6694  128.8431  40.9102  140.4516  0.231  -0.2405  0.0075  
1008  32.6694  128.8431  39.9531  141.0663  0.7533  -0.6774  -0.0202  
1009  32.6694  128.8431  39.3513  140.7692  1.3341  -0.8133  -0.0395  
1010  32.6694  128.8431  39.5961  141.6753  1.5391  -1.2088  -0.1856  
1011  32.6694  128.8431  38.4251  141.2129  3.8001  -1.1589  -0.5235  
1012  32.6694  128.8431  38.3012  141.5007  5.0595  -1.5274  -1.1578  
1013  32.6694  128.8431  39.8911  139.8489  0.5282  -0.3189  0.0234  
1014  32.6694  128.8431  39.8258  140.0447  0.6217  -0.3913  0.0169  
1015  32.6694  128.8431  39.7027  140.7329  0.9393  -0.6385  -0.0108  
1016  32.6694  128.8431  39.1991  140.5067  1.2854  -0.6515  -0.0206  
1017  32.6694  128.8431  39.016  139.9275  1.0014  -0.3931  0.0031  
1018  32.6694  128.8431  38.4968  140.3651  1.7241  -0.4595  -0.0637  
1019  32.6694  128.8431  38.1481  140.2711  1.6207  -0.2769  -0.0673  
1020  32.6694  128.8431  37.6159  140.2056  1.3929  -0.0672  -0.1131  
1021  32.6694  128.8431  37.6207  140.3729  1.611  -0.1392  -0.0789  
1022  32.6694  128.8431  37.4245  140.1359  1.2266  -0.0414  -0.0796  
1023  32.6694  128.8431  37.0973  139.5862  0.7232  0.0137  -0.0327  



1024  32.6694  128.8431  38.0562  139.4617  0.8815  -0.1168  0.0124  
1025  32.6694  128.8431  38.0237  138.3699  0.4364  -0.0498  0.0241  
1026  32.6694  128.8431  37.5358  138.7069  0.4803  -0.0228  0.023  
1027  32.6694  128.8431  37.3485  138.5164  0.4117  -0.0017  0.008  
1028  32.6694  128.8431  37.3199  139.0203  0.5607  -0.0016  -0.0034  
1029  32.6694  128.8431  37.0567  138.2426  0.3126  0.0177  -0.014  
1031  32.6694  128.8431  37.7521  139.0739  0.6426  -0.0504  0.0176  
1041  32.6694  128.8431  36.743  140.4976  1.186  -0.1097  -0.2567  
1042  32.6694  128.8431  36.3007  139.9878  0.5829  0.046  -0.1054  
1043  32.6694  128.8431  36.1148  139.9315  0.4669  0.0609  -0.0682  
1044  32.6694  128.8431  36.0313  140.2024  0.5136  0.0492  -0.1058  
1045  32.6694  128.8431  36.9523  140.1648  1.0373  -0.0227  -0.1072  
1046  32.6694  128.8431  36.9796  139.8057  0.7944  0.0183  -0.0567  
1047  32.6694  128.8431  36.7764  139.8543  0.7205  0.0268  -0.0483  
1048  32.6694  128.8431  36.6925  140.1577  0.8827  -0.0078  -0.1139  
1049  32.6694  128.8431  36.6242  139.4906  0.5191  0.0538  -0.0355  
1050  32.6694  128.8431  36.5422  140.1793  0.8027  -0.0081  -0.1337  
1051  32.6694  128.8431  36.6163  138.5915  0.3077  0.0402  -0.0063  
1052  32.6694  128.8431  36.2347  139.0666  0.291  0.05  -0.0044  
1053  32.6694  128.8431  36.1427  138.9124  0.2571  0.0458  -0.0198  
1066  32.6694  128.8431  35.6495  138.6904  0.1466  0.0413  -0.0059  
